Region,Customer.ID,Customer.Name,Sales,rank
Africa,BW-10651,Barry Weirich,8957,1.0
Africa,LT-71101,Liz Thompson,7853,2.0
Africa,PO-91951,Phillina Ober,7799,3.0
Africa,JF-54151,Jennifer Ferguson,6470,4.0
Africa,JW-52201,Jane Waco,6173,5.0
Africa,DP-31051,Dave Poirier,5858,6.0
Africa,BP-12301,Benjamin Patterson,5496,7.0
Africa,EG-39001,Emily Grady,5151,8.0
Africa,NW-84001,Natalie Webber,5100,9.0
Africa,AH-301,Aaron Hawkins,5072,10.0
Africa,MG-81451,Mike Gockenbach,4881,11.0
Africa,RP-93901,Resi P̦lking,4862,12.0
Africa,MT-80701,Michelle Tran,4827,13.0
Africa,RW-95401,Rick Wilson,4821,14.0
Africa,NP-86851,Nora Pelletier,4655,15.0
Africa,RH-95551,Ritsa Hightower,4477,16.0
Africa,GR-45601,Georgia Rosenberg,4473,17.0
Africa,RD-95851,Rob Dowd,4464,18.0
Africa,JE-61651,Justin Ellison,4343,19.0
Africa,RB-97051,Roger Barcio,4267,20.0
Africa,MB-73051,Maria Bertelson,4215,21.0
Africa,BS-18001,Bryan Spruell,4163,22.0
Africa,IG-50851,Ivan Gibson,4148,23.0
Africa,CP-23401,Christine Phan,4136,24.0
Africa,AB-2551,Alejandro Ballentine,4083,25.0
Africa,AJ-9601,Astrea Jones,4071,26.0
Africa,HM-49801,Henry MacAllister,4068,27.0
Africa,SM-100051,Sally Matthias,4068,27.0
Africa,SM-103201,Sean Miller,3993,28.0
Africa,LC-69301,Linda Cazamias,3984,29.0
Africa,CC-26851,Craig Carroll,3954,30.0
Africa,AJ-9451,Ashley Jarboe,3817,31.0
Africa,DB-33601,Dennis Bolton,3691,32.0
Africa,GM-45001,Gene McClure,3670,33.0
Africa,GH-44251,Gary Hwang,3649,34.0
Africa,JD-60601,Julia Dunbar,3471,35.0
Africa,MV-81901,Mike Vittorini,3445,36.0
Africa,AH-751,Adam Hart,3426,37.0
Africa,GP-47401,Guy Phonely,3415,38.0
Africa,DH-36751,Duane Huffman,3412,39.0
Africa,JF-55651,Jill Fjeld,3367,40.0
Africa,HD-47851,Harold Dahlen,3311,41.0
Africa,PA-90601,Pete Armstrong,3223,42.0
Africa,PV-89851,Paul Van Hugh,3156,43.0
Africa,IM-50551,Ionia McGrath,3118,44.0
Africa,AH-2101,Alan Hwang,3090,45.0
Africa,LL-68401,Lauren Leatherbury,3082,46.0
Africa,CV-28051,Cynthia Voltz,3070,47.0
Africa,CM-18301,Cari MacIntyre,3061,48.0
Africa,RD-98101,Ross DeVincentis,3021,49.0
Africa,BW-12001,Ben Wallace,2997,50.0
Africa,MY-82951,Muhammed Yedwab,2993,51.0
Africa,RD-96601,Robert Dilbeck,2960,52.0
Africa,BP-10501,Barry Pond,2953,53.0
Africa,DG-33001,Deirdre Greer,2949,54.0
Africa,MG-76801,Maureen Gastineau,2878,55.0
Africa,BD-17251,Bruce Degenhardt,2849,56.0
Africa,RH-94951,Rick Hansen,2833,57.0
Africa,SV-107851,Stewart Visinsky,2833,57.0
Africa,CR-25801,Clay Rozendal,2793,58.0
Africa,JK-57301,Joe Kamberova,2764,59.0
Africa,MH-74401,Mark Haberlin,2763,60.0
Africa,RA-92851,Ralph Arnett,2760,61.0
Africa,EB-37051,Ed Braxton,2720,62.0
Africa,CL-25651,Clay Ludtke,2713,63.0
Africa,RD-97201,Roger Demir,2698,64.0
Africa,DB-36151,Doug Bickford,2686,65.0
Africa,AC-6601,Anna Chung,2666,66.0
Africa,GZ-44701,Gary Zandusky,2619,67.0
Africa,TT-112651,Tim Taslimi,2618,68.0
Africa,PO-88651,Patrick O'Donnell,2607,69.0
Africa,RO-97801,Rose O'Brian,2597,70.0
Africa,TB-115201,Tracy Blumstein,2540,71.0
Africa,HZ-49501,Henia Zydlo,2525,72.0
Africa,SC-106801,Steve Carroll,2511,73.0
Africa,CC-24751,Cindy Chapman,2488,74.0
Africa,GT-47551,Guy Thornton,2475,75.0
Africa,DJ-35101,Don Jones,2406,76.0
Africa,NK-84901,Neil Knudson,2393,77.0
Africa,JK-53701,Jay Kimmel,2350,78.0
Africa,SC-103051,Sean Christensen,2350,78.0
Africa,RP-98551,Roy Phan,2342,79.0
Africa,JM-56551,Jim Mitchum,2336,80.0
Africa,NC-83401,Nat Carroll,2280,81.0
Africa,JH-59101,Jonathan Howell,2272,82.0
Africa,TR-113251,Toby Ritter,2272,82.0
Africa,DO-34351,Denny Ordway,2261,83.0
Africa,JO-51451,Jack O'Briant,2255,84.0
Africa,TA-113851,Tom Ashbrook,2226,85.0
Africa,BF-10201,Barry Franz̦sisch,2217,86.0
Africa,RD-99301,Russell D'Ascenzo,2183,87.0
Africa,AP-9151,Arthur Prichep,2151,88.0
Africa,CM-21601,Charles McCrossin,2144,89.0
Africa,SC-107251,Steven Cartwright,2136,90.0
Africa,AB-151,Aaron Bergman,2125,91.0
Africa,TS-115051,Tony Sayre,2116,92.0
Africa,BM-17851,Bryan Mills,2096,93.0
Africa,CK-27601,Cyma Kinney,2081,94.0
Africa,RB-93301,Randy Bradley,2079,95.0
Africa,EB-39751,Erica Bern,2074,96.0
Africa,DR-29401,Daniel Raglin,2065,97.0
Africa,AS-2851,Alejandro Savely,2059,98.0
Africa,JB-60451,Julia Barnett,2058,99.0
Africa,NF-83851,Natalie Fritzler,2029,100.0
Africa,LW-71251,Liz Willingham,2012,101.0
Africa,AG-2701,Alejandro Grove,1997,102.0
Africa,FM-42151,Filia McAdams,1994,103.0
Africa,EL-37351,Ed Ludwig,1976,104.0
Africa,ND-84601,Neil Ducich,1973,105.0
Africa,JK-56251,Jim Karlsson,1969,106.0
Africa,MR-75451,Mathew Reese,1963,107.0
Africa,TB-112501,Tim Brockman,1957,108.0
Africa,JM-52501,Janet Martin,1956,109.0
Africa,NP-86701,Nora Paige,1954,110.0
Africa,JJ-54451,Jennifer Jackson,1952,111.0
Africa,EM-42001,Evan Minnotte,1922,112.0
Africa,LC-70501,Liz Carlisle,1909,113.0
Africa,AS-6301,Ann Steele,1908,114.0
Africa,LC-69601,Lindsay Castell,1905,115.0
Africa,CP-20851,Cathy Prescott,1887,116.0
Africa,MO-78001,Meg O'Connel,1885,117.0
Africa,JO-55501,Jesus Ocampo,1880,118.0
Africa,LR-70351,Lisa Ryan,1864,119.0
Africa,EH-41851,Evan Henry,1863,120.0
Africa,EJ-41551,Eva Jacobs,1841,121.0
Africa,HR-47701,Hallie Redmond,1833,122.0
Africa,DK-28351,Damala Kotsonis,1830,123.0
Africa,DD-35701,Dorothy Dickinson,1823,124.0
Africa,TC-115351,Tracy Collins,1810,125.0
Africa,CS-25051,Cindy Stewart,1804,126.0
Africa,EM-40651,Erin Mull,1775,127.0
Africa,SU-106651,Stephanie Ulpright,1766,128.0
Africa,HG-48451,Harry Greene,1765,129.0
Africa,DK-33751,Dennis Kane,1764,130.0
Africa,JH-61801,Justin Hirsh,1762,131.0
Africa,TB-114001,Tom Boeckenhauer,1761,132.0
Africa,TH-111151,Thea Hudgings,1761,132.0
Africa,EM-40951,Eudokia Martin,1759,133.0
Africa,CS-24001,Christopher Schild,1742,134.0
Africa,KT-64801,Kean Thornton,1720,135.0
Africa,BE-14101,Bobby Elias,1718,136.0
Africa,LC-68851,Lena Creighton,1711,137.0
Africa,CS-24601,Chuck Sachs,1707,138.0
Africa,AC-6151,Ann Chong,1706,139.0
Africa,AR-8251,Anthony Rawles,1704,140.0
Africa,LD-68551,Lela Donovan,1703,141.0
Africa,AG-9001,Arthur Gainer,1698,142.0
Africa,MH-72901,Marc Harrigan,1684,143.0
Africa,JD-61501,Justin Deggeller,1679,144.0
Africa,BS-17551,Bruce Stewart,1675,145.0
Africa,JB-54001,Jennifer Braxton,1666,146.0
Africa,SC-104401,Shaun Chance,1648,147.0
Africa,BD-17701,Bryan Davis,1630,148.0
Africa,LP-70801,Liz Pelletier,1625,149.0
Africa,KH-63601,Katherine Hughes,1616,150.0
Africa,LM-70651,Liz MacKendrick,1616,150.0
Africa,RC-99601,Ryan Crowe,1610,151.0
Africa,AJ-7801,Anthony Jacobs,1608,152.0
Africa,CD-19201,Carlos Daly,1602,153.0
Africa,DH-30751,Dave Hallsten,1587,154.0
Africa,MH-77851,Maya Herman,1580,155.0
Africa,SM-109051,Susan MacKendrick,1576,156.0
Africa,TT-110701,Ted Trevino,1572,157.0
Africa,BF-10801,Bart Folk,1568,158.0
Africa,CC-22201,Chris Cortes,1568,158.0
Africa,BO-14251,Bobby Odegard,1560,159.0
Africa,MA-79951,Michelle Arnett,1558,160.0
Africa,EC-40501,Erin Creighton,1537,161.0
Africa,JH-59851,Joseph Holt,1536,162.0
Africa,PF-91651,Philip Fox,1533,163.0
Africa,SL-101551,Sara Luxemburg,1516,164.0
Africa,ML-80401,Michelle Lonsdale,1513,165.0
Africa,AA-6451,Anna Andreadi,1503,166.0
Africa,SC-100501,Sample Company A,1493,167.0
Africa,AB-601,Adam Bellavance,1483,168.0
Africa,JR-56701,Jim Radford,1480,169.0
Africa,AH-1201,Adrian Hane,1476,170.0
Africa,DC-28501,Dan Campbell,1476,170.0
Africa,EB-41101,Eugene Barchas,1475,171.0
Africa,KH-65101,Keith Herrera,1473,172.0
Africa,EB-39301,Eric Barreto,1462,173.0
Africa,AZ-7501,Annie Zypern,1461,174.0
Africa,TH-112351,Tiffany House,1456,175.0
Africa,SC-103801,Shahid Collister,1446,176.0
Africa,JD-58951,Jonathan Doherty,1435,177.0
Africa,RH-96001,Rob Haberlin,1421,178.0
Africa,SW-102451,Scot Wooten,1420,179.0
Africa,CC-23701,Christopher Conant,1414,180.0
Africa,RE-94501,Richard Eichhorn,1411,181.0
Africa,HF-49951,Herbert Flentye,1410,182.0
Africa,JR-57001,Jocasta Rupert,1409,183.0
Africa,KL-65551,Kelly Lampkin,1401,184.0
Africa,CL-27001,Craig Leslie,1393,185.0
Africa,AB-6001,Ann Blume,1384,186.0
Africa,MC-74251,Mark Cousins,1381,187.0
Africa,CS-21751,Charles Sheldon,1380,188.0
Africa,SW-104551,Shaun Weien,1379,189.0
Africa,GB-45751,Giulietta Baptist,1372,190.0
